Recid,subid,Unnamed: 0,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps_civique,corporation,poele,page,colonne,ligne,AuthNameForename,Length
aves_aa_4R_auth_0183,"['aves_aa_4R_1411_0030', 'aves_aa_4R_1414_0031']","[nan, nan]","[1411, 1414]","['conseiller_des_boulangers', 'conseiller_des_boulangers']","['Hanns Martin', 'Hanns Martin']","['johanns', 'johanns']","['martin', 'martin']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_boulangers', 'corporation_des_boulangers']","[nan, nan]","[142, 145]","[nan, nan]","[31, 31]","martin, johanns",2
aves_aa_4R_auth_0184,"['aves_aa_4R_1411_0031', 'aves_aa_4R_1414_0032']","[nan, nan]","[1411, 1414]","['conseiller_des_bouchers', 'conseiller_des_bouchers']","['Heintz Meister', 'Heintz Meister']","['heintz', 'heintz']","['meister', 'meister']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_bouchers', 'corporation_des_bouchers']","[nan, nan]","[142, 145]","[nan, nan]","[32, 32]","meister, heintz",2
aves_aa_4R_auth_0185,"['aves_aa_4R_1411_0032', 'aves_aa_4R_1421_0020', 'aves_aa_4R_1426_0020', 'aves_aa_4R_1435_0020']","[nan, nan, nan, nan]","[1411, 1421, 1426, 1435]","['conseiller_des_drapiers', 'conseiller_des_drapiers', 'conseiller_des_drapiers', 'conseiller_des_drapiers']","['Ulrich Zirzer', 'U?lrich Zirzer', 'U?lrich Zirzer', 'Ulrich Zirzer']","['ulrich', 'ulrich', 'ulrich', 'ulrich']","['zirtzer', 'zirtzer', 'zirtzer', 'zirtzer']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_drapiers', 'corporation_des_drapiers', 'corporation_des_drapiers', 'corporation_des_drapiers']","[nan, nan, nan, nan]","[142, 152, 157, 166]","[nan, nan, nan, nan]","[33, 20, 19, 20]","zirtzer, ulrich",4
aves_aa_4R_auth_0186,"['aves_aa_4R_1411_0033', 'aves_aa_4R_1423_0021']","[nan, nan]","[1411, 1423]","['conseiller_des_tonneliers', 'conseiller_des_tonneliers']","['Johanns Biderman', 'Hanns Biderman zu?m Swenner']","['johanns', 'johanns']","['bidermann', 'bidermann']","[nan, 'schwenner, zum']","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_tonneliers', 'corporation_des_tonneliers']","[nan, nan]","[142, 154]","[nan, nan]","[34, 21]","bidermann, johanns",2
aves_aa_4R_auth_0187,['aves_aa_4R_1411_0034'],[nan],[1411],['conseiller_des_tanneurs'],['Johanns Sturm'],['johanns'],['sturm'],[nan],[nan],[nan],['echevinat'],['corporation_des_tanneurs'],[nan],[142],[nan],[35],"sturm, johanns",1
aves_aa_4R_auth_0188,"['aves_aa_4R_1411_0037', 'aves_aa_4R_1417_0039', 'aves_aa_4R_1426_0024', 'aves_aa_4R_1429_0024', 'aves_aa_4R_1433_0024', 'aves_aa_4R_1436_0024', 'aves_aa_4R_1438_0024']","[nan, nan, nan, nan, nan, nan, nan]","[1411, 1417, 1426, 1429, 1433, 1436, 1438]","['conseiller_des_forgerons', 'conseiller_des_forgerons', 'conseiller_des_forgerons', 'conseiller_des_forgerons', 'conseiller_des_forgerons', 'conseiller_des_forgerons', 'conseiller_des_forgerons']","['Peter Vilinger', 'Peter Vilinger', 'Peter Vilinger', 'Peter Vilinger', 'Peter Vilinger', 'Peter Vilinger', 'Peter Vilinger']","['peter', 'peter', 'peter', 'peter', 'peter', 'peter', 'peter']","['villinger', 'villinger', 'villinger', 'villinger', 'villinger', 'villinger', 'villinger']","[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_forgerons', 'corporation_des_forgerons', 'corporation_des_forgerons', 'corporation_des_forgerons', 'corporation_des_forgerons', 'corporation_des_forgerons', 'corporation_des_forgerons']","[nan, nan, nan, nan, nan, nan, nan]","[142, 148, 157, 160, 164, 167, 169]","[nan, nan, nan, nan, nan, nan, nan]","[38, 4, 23, 24, 24, 24, 25]","villinger, peter",7
aves_aa_4R_auth_0189,['aves_aa_4R_1411_0038'],[nan],[1411],['conseiller_des_tailleurs'],['Hanns Swërt'],['johanns'],['schwert'],[nan],[nan],[nan],['echevinat'],['corporation_des_tailleurs'],[nan],[142],[nan],[1],"schwert, johanns",1
aves_aa_4R_auth_0190,"['aves_aa_4R_1411_0040', 'aves_aa_4R_1417_0042']","[nan, nan]","[1411, 1417]","['conseiller_des_pelletiers', 'conseiller_des_pelletiers']","['Johanns von Wasselnheim', 'Hanns von Wasselnheim']","['johanns', 'johanns']","['wasselnheim, von', 'wasselnheim, von']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_pelletiers', 'corporation_des_pelletiers']","[nan, nan]","[142, 148]","[nan, nan]","[3, 7]","wasselnheim, von, johanns",2
aves_aa_4R_auth_0191,"['aves_aa_4R_1411_0041', 'aves_aa_4R_1414_0042']","[nan, nan]","[1411, 1414]","['conseiller_des_charpentiers', 'conseiller_des_charpentiers']","['Peter von Hasela', 'Peter von Hasela']","['peter', 'peter']","['haslach von', 'haslach von']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_charpentiers', 'corporation_des_charpentiers']","[nan, nan]","[142, 145]","[nan, nan]","[4, 5]","haslach von, peter",2
aves_aa_4R_auth_0192,['aves_aa_4R_1411_0042'],[nan],[1411],['conseiller_des_crieurs_et_mesureurs_de_vin'],['Cu?ntz Merckwilre'],['küntz'],['merckwiller'],[nan],[nan],[nan],['echevinat'],['corporation_des_crieurs_et_mesureurs_de_vin'],[nan],[142],[nan],[5],"merckwiller, küntz",1
aves_aa_4R_auth_0193,"['aves_aa_4R_1411_0045', 'aves_aa_4R_1417_0047', 'aves_aa_4R_1422_0033', 'aves_aa_4R_1426_0032', 'aves_aa_4R_1434_0032', 'aves_aa_4R_1438_0032', 'aves_aa_4R_1442_0032']","[nan, nan, nan, nan, nan, nan, nan]","[1411, 1417, 1422, 1426, 1434, 1438, 1442]","['conseiller_des_marchands_de_grains', 'conseiller_des_marchands_de_grains', 'conseiller_des_marchands_de_grains', 'conseiller_des_marchands_de_grains', 'conseiller_des_marchands_de_grains', 'conseiller_des_marchands_de_grains', 'conseiller_des_marchands_de_grains']","['Otteman Franckenheim', 'Otteman Franckenheim', 'Otteman von Franckenheim', 'Otteman Franckenheim', 'Otteman Franckenheim', 'Otteman Franckenheim', 'Otteman Franckenheim']","['ottemann', 'ottemann', 'ottemann', 'ottemann', 'ottemann', 'ottemann', 'ottemann']","['frankenheim', 'frankenheim', 'frankenheim, von', 'frankenheim', 'frankenheim', 'frankenheim', 'frankenheim']","[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_marchands_de_grains', 'corporation_des_marchands_de_grains', 'corporation_des_marchands_de_grains', 'corporation_des_marchands_de_grains', 'corporation_des_marchands_de_grains', 'corporation_des_marchands_de_grains', 'corporation_des_marchands_de_grains']","[nan, nan, nan, nan, nan, nan, nan]","[142, 148, 153, 157, 165, 169, 173]","[nan, nan, nan, nan, nan, nan, nan]","[8, 12, 33, 31, 32, 33, 32]","frankenheim, ottemann",7
aves_aa_4R_auth_0194,"['aves_aa_4R_1411_0046', 'aves_aa_4R_1427_0033']","[nan, nan]","[1411, 1427]","['conseiller_des_jardiniers', 'conseiller_des_jardiniers']","['Bùrcklin Mùntzer', 'Burckart M?u?ntzer']","['burkhart', 'burkhart']","['müntzer', 'müntzer']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_jardiniers', 'corporation_des_jardiniers']","[nan, nan]","[142, 158]","[nan, nan]","[9, 33]","müntzer, burkhart",2
aves_aa_4R_auth_0195,"['aves_aa_4R_1411_0047', 'aves_aa_4R_1442_0034']","[nan, nan]","[1411, 1442]","['conseiller_des_pêcheurs', 'conseiller_des_pêcheurs']","['Hansekint Brùchelin', 'Hansekint Bru?chel']","['hansekint', 'hansekint']","['brüchelin', 'brüchelin']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_pêcheurs', 'corporation_des_pêcheurs']","[nan, nan]","[142, 173]","[nan, nan]","[10, 34]","brüchelin, hansekint",2
aves_aa_4R_auth_0196,"['aves_aa_4R_1411_0048', 'aves_aa_4R_1419_0049']","[nan, nan]","[1411, 1419]","['conseiller_des_barbiers_et_baigneurs', 'conseiller_des_barbiers_et_baigneurs']","['Hanns Flach', 'Hanns Flach']","['johanns', 'johanns']","['flach', 'flach']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_barbiers_et_baigneurs', 'corporation_des_barbiers_et_baigneurs']","[nan, nan]","[142, 150]","[nan, nan]","[11, 14]","flach, johanns",2
aves_aa_4R_auth_0197,"['aves_aa_4R_1411_0049', 'aves_aa_4R_1424_0037']","[nan, nan]","[1411, 1424]","['conseiller_des_sauniers', 'conseiller_des_sauniers']","['Johans Blu?mstein', 'Hanns Bl?u?menstein']","['johanns', 'johanns']","['blumenstein', 'blumenstein']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_sauniers', 'corporation_des_sauniers']","[nan, nan]","[142, 155]","[nan, nan]","[12, 38]","blumenstein, johanns",2
aves_aa_4R_auth_0198,"['aves_aa_4R_1411_0053', 'aves_aa_4R_1414_0054', 'aves_aa_4R_1425_0041', 'aves_aa_4R_1429_0040']","[nan, nan, nan, nan]","[1411, 1414, 1425, 1429]","['conseiller_des_regrattiers_cordiers_et_fruitiers', 'conseiller_des_regrattiers_cordiers_et_fruitiers', 'conseiller_des_regrattiers_cordiers_et_fruitiers', 'conseiller_des_regrattiers_cordiers_et_fruitiers']","['Heintz Burckhart', 'Heintz Burghart', 'Heintz Burckart', 'Heintz Burckart']","['heintz', 'heintz', 'heintz', 'heintz']","['burkhart', 'burkhart', 'burkhart', 'burkhart']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_regrattiers_cordiers_et_fruitiers', 'corporation_des_regrattiers_cordiers_et_fruitiers', 'corporation_des_regrattiers_cordiers_et_fruitiers', 'corporation_des_regrattiers_cordiers_et_fruitiers']","[nan, nan, nan, nan]","[142, 145, 156, 160]","[nan, nan, nan, nan]","[16, 17, 5, 10]","burkhart, heintz",4
aves_aa_4R_auth_0199,['aves_aa_4R_1411_0055'],[nan],[1411],['conseiller_des_constructeurs_de_bateaux'],['Hannseman Spitznagel der Jùnge'],['johanns'],['spitznagel'],[nan],[nan],[nan],['echevinat'],['corporation_des_constructeurs_de_bateaux'],[nan],[142],[nan],[18],"spitznagel, johanns",1
aves_aa_4R_auth_0200,['aves_aa_4R_1411_0056'],[nan],[1411],['conseiller_des_huiliers_meuniers_et_tondeurs_de_draps'],['Hanns Wybelsheim'],['johanns'],['wibolsheim'],[nan],[nan],[nan],['echevinat'],['corporation_des_huiliers_meuniers_et_tondeurs_de_draps'],[nan],[142],[nan],[19],"wibolsheim, johanns",1
aves_aa_4R_auth_0201,['aves_aa_4R_1412_0031'],[nan],[1412],['conseiller_des_boulangers'],['Jacob Herman'],['jacob'],['hermann'],[nan],[nan],[nan],['echevinat'],['corporation_des_boulangers'],[nan],[143],[nan],[31],"hermann, jacob",1
aves_aa_4R_auth_0202,['aves_aa_4R_1412_0032'],[nan],[1412],['conseiller_des_bouchers'],['Hanns Berse'],['johanns'],['berse'],[nan],[nan],[nan],['echevinat'],['corporation_des_bouchers'],[nan],[143],[nan],[32],"berse, johanns",1
aves_aa_4R_auth_0203,"['aves_aa_4R_1412_0033', 'aves_aa_4R_1423_0020', 'aves_aa_4R_1436_0020']","[nan, nan, nan]","[1412, 1423, 1436]","['conseiller_des_drapiers', 'conseiller_des_drapiers', 'conseiller_des_drapiers']","['Claus Sprenger', 'Claus Sprenger', 'Claus Sprenger']","['claus', 'claus', 'claus']","['sprenger', 'sprenger', 'sprenger']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['echevinat', 'echevinat', 'echevinat']","['corporation_des_drapiers', 'corporation_des_drapiers', 'corporation_des_drapiers']","[nan, nan, nan]","[143, 154, 167]","[nan, nan, nan]","[33, 20, 20]","sprenger, claus",3
aves_aa_4R_auth_0204,['aves_aa_4R_1412_0037'],[nan],[1412],['conseiller_des_maçons'],['Anthenie Kachler'],['anthenie'],['kacheler'],[nan],[nan],[nan],['echevinat'],['corporation_des_maçons'],[nan],[143],[nan],[37],"kacheler, anthenie",1
aves_aa_4R_auth_0205,['aves_aa_4R_1412_0040'],[nan],[1412],['conseiller_des_bateliers'],['Johanns Armbroster'],['johanns'],['armbruster'],[nan],[nan],[nan],['echevinat'],['corporation_des_bateliers'],[nan],[143],[nan],[40],"armbruster, johanns",1
aves_aa_4R_auth_0206,"['aves_aa_4R_1412_0042', 'aves_aa_4R_1415_0041']","[nan, nan]","[1412, 1415]","['conseiller_des_charpentiers', 'conseiller_des_charpentiers']","['Johanns Kerbe', 'Johanns Kerwe']","['johanns', 'johanns']","['kerb', 'kerb']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_charpentiers', 'corporation_des_charpentiers']","[nan, nan]","[143, 146]","[nan, nan]","[2, 4]","kerb, johanns",2
aves_aa_4R_auth_0207,['aves_aa_4R_1412_0043'],[nan],[1412],['conseiller_des_crieurs_et_mesureurs_de_vin'],['Jecklin Kenen'],['jeckel'],"['kenen, zur']",[nan],[nan],[nan],['echevinat'],['corporation_des_crieurs_et_mesureurs_de_vin'],[nan],[143],[nan],[3],"kenen, zur, jeckel",1
aves_aa_4R_auth_0208,"['aves_aa_4R_1412_0044', 'aves_aa_4R_1426_0031', 'aves_aa_4R_1434_0031']","[nan, nan, nan]","[1412, 1426, 1434]","['conseiller_des_orfevres', 'conseiller_des_orfevres', 'conseiller_des_orfevres']","['Andres Samlriem', 'Andres Smalriem', 'Andres Smalriem']","['andres', 'andres', 'andres']","['schmalriem', 'schmalriem', 'schmalriem']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","['echevinat', 'echevinat', 'echevinat']","['corporation_des_orfevres', 'corporation_des_orfevres', 'corporation_des_orfevres']","[nan, nan, nan]","[143, 157, 165]","[nan, nan, nan]","[4, 30, 31]","schmalriem, andres",3
aves_aa_4R_auth_0209,['aves_aa_4R_1412_0047'],[nan],[1412],['conseiller_des_jardiniers'],['Johanns Zender'],['johanns'],['zender'],[nan],[nan],[nan],['echevinat'],['corporation_des_jardiniers'],[nan],[143],[nan],[7],"zender, johanns",1
aves_aa_4R_auth_0210,"['aves_aa_4R_1412_0051', 'aves_aa_4R_1414_0051']","[nan, nan]","[1412, 1414]","['conseiller_des_tisserands', 'conseiller_des_tisserands']","['Diebolt Mannertrib', 'Diebolt Mannertrib']","['diebolt', 'diebolt']","['mannertrieb', 'mannertrieb']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_tisserands', 'corporation_des_tisserands']","[nan, nan]","[143, 145]","[nan, nan]","[11, 14]","mannertrieb, diebolt",2
aves_aa_4R_auth_0211,"['aves_aa_4R_1412_0053', 'aves_aa_4R_1417_0054']","[nan, nan]","[1412, 1417]","['conseiller_des_charrons', 'conseiller_des_charrons']","['Johanns Mentzer', 'Johanns Mentzer']","['johanns', 'johanns']","['mentzer', 'mentzer']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_charrons', 'corporation_des_charrons']","[nan, nan]","[143, 148]","[nan, nan]","[13, 19]","mentzer, johanns",2
aves_aa_4R_auth_0212,"['aves_aa_4R_1412_0054', 'aves_aa_4R_1418_0054']","[nan, nan]","[1412, 1418]","['conseiller_des_regrattiers_cordiers_et_fruitiers', 'conseiller_des_regrattiers_cordiers_et_fruitiers']","['Ru?lman Seiler', 'Ru?lman Seiler']","['ruhlemann', 'ruhlemann']","['seiler', 'seiler']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_regrattiers_cordiers_et_fruitiers', 'corporation_des_regrattiers_cordiers_et_fruitiers']","[nan, nan]","[143, 149]","[nan, nan]","[14, 17]","seiler, ruhlemann",2
aves_aa_4R_auth_0213,['aves_aa_4R_1412_0057'],[nan],[1412],['conseiller_des_drapiers'],['Otteman du?chscherer'],['ottemann'],['tuchscherer'],[nan],[nan],[nan],['echevinat'],['corporation_des_drapiers'],[nan],[143],[nan],[17],"tuchscherer, ottemann",1
aves_aa_4R_auth_0214,['aves_aa_4R_1413_0030'],[nan],[1413],['conseiller_des_marchands'],"['Voltzel, Hanns voltzen seligen sün']",[''],['voltz'],[nan],[nan],[nan],['echevinat'],['corporation_des_marchands'],[nan],[144],[nan],[30],"voltz, ",1
aves_aa_4R_auth_0215,"['aves_aa_4R_1413_0034', 'aves_aa_4R_1421_0021']","[nan, nan]","[1413, 1421]","['conseiller_des_tonneliers', 'conseiller_des_tonneliers']","['Hans Wilgotheim', 'Hanns von Wilgotheim']","['johanns', 'johanns']","['willgottheim', 'willgottheim, von']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_tonneliers', 'corporation_des_tonneliers']","[nan, nan]","[144, 152]","[nan, nan]","[34, 21]","willgottheim, johanns",2
aves_aa_4R_auth_0216,"['aves_aa_4R_1413_0037', 'aves_aa_4R_1415_0037', 'aves_aa_4R_1418_0038']","[nan, nan, nan]","[1413, 1415, 1418]","['conseiller_des_forgerons', 'conseiller_des_forgerons', 'conseiller_des_forgerons']","['Hanneman von Epffich der spengeler', 'Hanman von Epffich', 'Hanman von Epffich der spengler']","['hannemann', 'hannemann', 'hannemann']","['epfig, von', 'epfig, von', 'epfig, von']","[nan, nan, nan]","[nan, nan, nan]","[""['spengeler']"", nan, ""['spengler']""]","['echevinat', 'echevinat', 'echevinat']","['corporation_des_forgerons', 'corporation_des_forgerons', 'corporation_des_forgerons']","[nan, nan, nan]","[144, 146, 149]","[nan, nan, nan]","[1, 37, 1]","epfig, von, hannemann",3
aves_aa_4R_auth_0217,"['aves_aa_4R_1413_0039', 'aves_aa_4R_1419_0040']","[nan, nan]","[1413, 1419]","['conseiller_des_bateliers', 'conseiller_des_bateliers']","['Claus Meyer', 'Claus Meyer']","['claus', 'claus']","['meiger', 'meiger']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_bateliers', 'corporation_des_bateliers']","[nan, nan]","[144, 150]","[nan, nan]","[3, 5]","meiger, claus",2
aves_aa_4R_auth_0218,['aves_aa_4R_1413_0041'],[nan],[1413],['conseiller_des_charpentiers'],['Sÿmont Jo?ckelin'],['symont'],['jeckelin'],[nan],[nan],[nan],['echevinat'],['corporation_des_charpentiers'],[nan],[144],[nan],[5],"jeckelin, symont",1
aves_aa_4R_auth_0219,['aves_aa_4R_1413_0043'],[nan],[1413],['conseiller_des_cordonniers'],['Hans Rafenspurg'],['johanns'],['rawensburg'],[nan],[nan],[nan],['echevinat'],['corporation_des_cordonniers'],[nan],[144],[nan],[7],"rawensburg, johanns",1
aves_aa_4R_auth_0220,"['aves_aa_4R_1413_0044', 'aves_aa_4R_1416_0045']","[nan, nan]","[1413, 1416]","['conseiller_des_orfevres', 'conseiller_des_orfevres']","['Hans von Kriegesheim genant Staheler', 'Johanns von Kriegesheim genant Staheler']","['johanns', 'johanns']","['kriegsheim, von', 'kriegsheim, von']","['stacheler', 'stacheler']","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_orfevres', 'corporation_des_orfevres']","[nan, nan]","[144, 147]","[nan, nan]","[8, 9]","kriegsheim, von, johanns",2
aves_aa_4R_auth_0221,['aves_aa_4R_1413_0047'],[nan],[1413],['conseiller_des_pêcheurs'],['Claus Bruchelin der junge'],['claus'],['brüchelin'],['der junge'],[nan],[nan],['echevinat'],['corporation_des_pêcheurs'],[nan],[144],[nan],[11],"brüchelin, claus",1
aves_aa_4R_auth_0222,"['aves_aa_4R_1413_0049', 'aves_aa_4R_1418_0050', 'aves_aa_4R_1430_0036', 'aves_aa_4R_1434_0036', 'aves_aa_4R_1440_0036', 'aves_aa_4R_1446_0036']","[nan, nan, nan, nan, nan, nan]","[1413, 1418, 1430, 1434, 1440, 1446]","['conseiller_des_sauniers', 'conseiller_des_sauniers', 'conseiller_des_sauniers', 'conseiller_des_sauniers', 'conseiller_des_sauniers', 'conseiller_des_sauniers']","['Dietherman Saltzmütter', 'Dietherman Saltzmu?tter', 'Dietherman Saltzmu?tter', 'Dietherman Saltzmùtter', 'Dietherman Saltzmùtter', 'Dietherman Saltzmu?tter']","['dietrich', 'dietrich', 'dietrich', 'dietrich', 'dietrich', 'dietrich']","['saltzmütter', 'saltzmütter', 'saltzmütter', 'saltzmütter', 'saltzmütter', 'saltzmütter']","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_sauniers', 'corporation_des_sauniers', 'corporation_des_sauniers', 'corporation_des_sauniers', 'corporation_des_sauniers', 'corporation_des_sauniers']","[nan, nan, nan, nan, nan, nan]","[144, 149, 161, 165, 171, 177]","[nan, nan, nan, nan, nan, nan]","[13, 13, 36, 36, 36, 36]","saltzmütter, dietrich",6
aves_aa_4R_auth_0223,['aves_aa_4R_1413_0053'],[nan],[1413],['conseiller_des_regrattiers_cordiers_et_fruitiers'],['Rudolff Wu?rant'],['rudolff'],['wurant'],[nan],[nan],[nan],['echevinat'],['corporation_des_regrattiers_cordiers_et_fruitiers'],[nan],[144],[nan],[17],"wurant, rudolff",1
aves_aa_4R_auth_0224,['aves_aa_4R_1413_0056'],[nan],[1413],['conseiller_des_huiliers_meuniers_et_tondeurs_de_draps'],['Peter von Lampertheim der olman'],['peter'],"['lampertheim, von']",[nan],[nan],"[""['olman']""]",['echevinat'],['corporation_des_huiliers_meuniers_et_tondeurs_de_draps'],[nan],[144],[nan],[20],"lampertheim, von, peter",1
aves_aa_4R_auth_0225,"['aves_aa_4R_1414_0030', 'aves_aa_4R_1437_0016']","[nan, nan]","[1414, 1437]","['conseiller_des_marchands', 'conseiller_des_marchands']","['Peter Brucker', 'Peter Brucker']","['peter', 'peter']","['brucker', 'brucker']","[nan, nan]","[nan, nan]","[nan, nan]","['echevinat', 'echevinat']","['corporation_des_marchands', 'corporation_des_marchands']","[nan, nan]","[145, 168]","[nan, nan]","[30, 16]","brucker, peter",2
aves_aa_4R_auth_0226,['aves_aa_4R_1414_0033'],[nan],[1414],['conseiller_des_drapiers'],['Peter Nùßmann'],['peter'],['nussmann'],[nan],[nan],[nan],['echevinat'],['corporation_des_drapiers'],[nan],[145],[nan],[33],"nussmann, peter",1
aves_aa_4R_auth_0227,['aves_aa_4R_1414_0034'],[nan],[1414],['conseiller_des_tonneliers'],['Cu?ntz Heimburge'],['küntz'],['heimburg'],[nan],[nan],[nan],['echevinat'],['corporation_des_tonneliers'],[nan],[145],[nan],[34],"heimburg, küntz",1
aves_aa_4R_auth_0228,"['aves_aa_4R_1414_0035', 'aves_aa_4R_1420_0005', 'aves_aa_4R_1421_0022', 'aves_aa_4R_1423_0022']","[nan, nan, nan, nan]","[1414, 1420, 1421, 1423]","['conseiller_des_tanneurs', 'ammeister', 'conseiller_des_tanneurs', 'conseiller_des_tanneurs']","['Claus Gerbott', 'her Claus Gerbot der ammeister', 'her Claus Gerbot', 'her Claus Gerbot']","['claus', 'claus', 'claus', 'claus']","['gerbot', 'gerbot', 'gerbot', 'gerbot']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, ""['her', 'ammeister']"", ""['her']"", ""['her']""]","['echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_tanneurs', nan, 'corporation_des_tanneurs', 'corporation_des_tanneurs']","[nan, nan, nan, nan]","[145, 151, 152, 154]","[nan, nan, nan, nan]","[35, 5, 22, 22]","gerbot, claus",4
aves_aa_4R_auth_0229,['aves_aa_4R_1414_0036'],[nan],[1414],['conseiller_des_cabaretiers'],['Hanns Dannenfeils'],['johanns'],['dannenfels'],[nan],[nan],[nan],['echevinat'],['corporation_des_cabaretiers'],[nan],[145],[nan],[36],"dannenfels, johanns",1
aves_aa_4R_auth_0230,"['aves_aa_4R_1414_0039', 'aves_aa_4R_1420_0026', 'aves_aa_4R_1427_0025', 'aves_aa_4R_1436_0025']","[nan, nan, nan, nan]","[1414, 1420, 1427, 1436]","['conseiller_des_tailleurs', 'conseiller_des_tailleurs', 'conseiller_des_tailleurs', 'conseiller_des_tailleurs']","['Peter Stoltz', 'Peter Stoltz', 'Peter Stoltz', 'Peter Stoltz']","['peter', 'peter', 'peter', 'peter']","['stoltz', 'stoltz', 'stoltz', 'stoltz']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_tailleurs', 'corporation_des_tailleurs', 'corporation_des_tailleurs', 'corporation_des_tailleurs']","[nan, nan, nan, nan]","[145, 151, 158, 167]","[nan, nan, nan, nan]","[2, 26, 25, 25]","stoltz, peter",4
aves_aa_4R_auth_0231,"['aves_aa_4R_1414_0041', 'aves_aa_4R_1418_0041', 'aves_aa_4R_1420_0028', 'aves_aa_4R_1431_0027']","[nan, nan, nan, nan]","[1414, 1418, 1420, 1431]","['conseiller_des_pelletiers', 'conseiller_des_pelletiers', 'conseiller_des_pelletiers', 'conseiller_des_pelletiers']","['Claus Spirer', 'Spirer', 'Claus Spirer', 'Claus Spirer']","['claus', '', 'claus', 'claus']","['spirer', 'spirer', 'spirer', 'spirer']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['echevinat', 'echevinat', 'echevinat', 'echevinat']","['corporation_des_pelletiers', 'corporation_des_pelletiers', 'corporation_des_pelletiers', 'corporation_des_pelletiers']","[nan, nan, nan, nan]","[145, 149, 151, 162]","[nan, nan, nan, nan]","[4, 4, 28, 12]","spirer, claus",4
