RangConseil,id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne,Unnamed: 0
29,aves_aa_4R_1421_0030,1421,conseiller_des_crieurs_et_mesureurs_de_vin,Adam Beldeck,adam,beildeck,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,152,1,30,30.0
30,aves_aa_4R_1421_0031,1421,conseiller_des_cordonniers,Heintz Uͦsemberg,heintz,üsenberg,,,,echevinat,corporation_des_cordonniers,,152,1,31,31.0
31,aves_aa_4R_1421_0032,1421,conseiller_des_orfevres,Heinrich Steffann,heinrich,stefan,,,,echevinat,corporation_des_orfevres,,152,1,32,32.0
32,aves_aa_4R_1421_0033,1421,conseiller_des_marchands_de_grains,Berman von Nùfer,behremann,nüffer,,,,echevinat,corporation_des_marchands_de_grains,,152,1,33,33.0
33,aves_aa_4R_1421_0034,1421,conseiller_des_jardiniers,Claus Spete,claus,spete,,,,echevinat,corporation_des_jardiniers,,152,1,34,34.0
34,aves_aa_4R_1421_0035,1421,conseiller_des_pêcheurs,Hanns Lamb,johanns,lamb,,,,echevinat,corporation_des_pêcheurs,,152,1,35,35.0
35,aves_aa_4R_1421_0036,1421,conseiller_des_barbiers_et_baigneurs,Oswalt der                               bader,oswalt,,,,['bader'],echevinat,corporation_des_barbiers_et_baigneurs,,152,1,36,36.0
36,aves_aa_4R_1421_0037,1421,conseiller_des_sauniers,Andres Smerwer,andres,schmerwer,,,,echevinat,corporation_des_sauniers,,152,1,37,37.0
37,aves_aa_4R_1421_0038,1421,conseiller_des_tisserands,Heinrich Lichtemberg,heinrich,lichtenberg,,,,echevinat,corporation_des_tisserands,,152,1,38,38.0
38,aves_aa_4R_1421_0039,1421,conseiller_des_gourmets_et_courtiers,Oberlin Harrer,oberlin,harrer,,,,echevinat,corporation_des_gourmets_et_courtiers,,152,1,39,39.0
39,aves_aa_4R_1421_0040,1421,conseiller_des_charrons,her Hug Dritzehen,hug,dreitzehn,,,['her'],echevinat,corporation_des_charrons,,152,2,1,40.0
40,aves_aa_4R_1421_0041,1421,conseiller_des_regrattiers_cordiers_et_fruitiers,Claus Detwilre,claus,dettwiller,,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,152,2,2,41.0
41,aves_aa_4R_1421_0042,1421,conseiller_des_coltineurs_de_tonneaux,Adam Mentzer,adam,mentzer,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,152,2,3,42.0
42,aves_aa_4R_1421_0043,1421,conseiller_des_constructeurs_de_bateaux,Hanns Klye,johanns,klige,,,,echevinat,corporation_des_constructeurs_de_bateaux,,152,2,4,43.0
43,aves_aa_4R_1421_0044,1421,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,Berhtolt der                               mùller,bechtolt,,,,['mùller'],echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,152,2,5,44.0
4,aves_aa_4R_1422_0005,1422,ammeister,her Claus Melbruͤge der                      ammeister,claus,melbrühe,,,"['her', 'ammeister']",echevinat,,,153,1,5,5.0
16,aves_aa_4R_1422_0017,1422,conseiller_des_marchands,her Ruͤllin Barpfennig,ruhlemann,barpfennig,,,['her'],echevinat,corporation_des_marchands,,153,1,17,17.0
17,aves_aa_4R_1422_0018,1422,conseiller_des_boulangers,Jacob von Geispoltzheim der jung,jacob,"geispoltzheim, von",,der junge,,echevinat,corporation_des_boulangers,,153,1,18,18.0
18,aves_aa_4R_1422_0019,1422,conseiller_des_bouchers,her Johanns Betscholt,johanns,bechtolt,,,['her'],echevinat,corporation_des_bouchers,,153,1,19,19.0
19,aves_aa_4R_1422_0020,1422,conseiller_des_drapiers,Claus Spilman,claus,spielmann,,,,echevinat,corporation_des_drapiers,,153,1,20,20.0
20,aves_aa_4R_1422_0021,1422,conseiller_des_tonneliers,Claus von Goͤffede,claus,"göffde, von",,,,echevinat,corporation_des_tonneliers,,153,1,21,21.0
21,aves_aa_4R_1422_0022,1422,conseiller_des_tanneurs,Claus Duntzenheim,claus,duntzenheim,,,,echevinat,corporation_des_tanneurs,,153,1,22,22.0
22,aves_aa_4R_1422_0023,1422,conseiller_des_cabaretiers,Anshelm Spirer,anshelm,spirer,,,,echevinat,corporation_des_cabaretiers,,153,1,23,23.0
23,aves_aa_4R_1422_0024,1422,conseiller_des_maçons,Hanns von Eckboltzheim,johanns,"eckboltzheim, von",,,,echevinat,corporation_des_maçons,,153,1,24,24.0
24,aves_aa_4R_1422_0025,1422,conseiller_des_forgerons,Leonhart Welsch,lienhart,welsch,,,,echevinat,corporation_des_forgerons,,153,1,25,25.0
25,aves_aa_4R_1422_0026,1422,conseiller_des_tailleurs,Conrat Schrotbanck,konrat,schrotbanck,,,,echevinat,corporation_des_tailleurs,,153,1,26,26.0
26,aves_aa_4R_1422_0027,1422,conseiller_des_bateliers,Heintz Phye,heintz,phye,,,,echevinat,corporation_des_bateliers,,153,1,27,27.0
27,aves_aa_4R_1422_0028,1422,conseiller_des_pelletiers,Heintzman Selose,heintz,seelose,,,,echevinat,corporation_des_pelletiers,,153,1,28,28.0
28,aves_aa_4R_1422_0029,1422,conseiller_des_charpentiers,Claus von Bergheim,claus,"bergheim, von",,,,echevinat,corporation_des_charpentiers,,153,1,29,29.0
29,aves_aa_4R_1422_0030,1422,conseiller_des_crieurs_et_mesureurs_de_vin,Jacob zuͦr Kenen,jacob,"kenen, zur",,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,153,1,30,30.0
30,aves_aa_4R_1422_0031,1422,conseiller_des_cordonniers,Cuͦntz Heiden,küntz,heide,,,,echevinat,corporation_des_cordonniers,,153,1,31,31.0
31,aves_aa_4R_1422_0032,1422,conseiller_des_orfevres,Hanns Gotzgans,johanns,gotzgans,,,,echevinat,corporation_des_orfevres,,153,1,32,32.0
32,aves_aa_4R_1422_0033,1422,conseiller_des_marchands_de_grains,Otteman von Franckenheim,ottemann,"frankenheim, von",,,,echevinat,corporation_des_marchands_de_grains,,153,1,33,33.0
33,aves_aa_4R_1422_0034,1422,conseiller_des_jardiniers,Hanns Kirwart,johanns,kilwart,,,,echevinat,corporation_des_jardiniers,,153,1,34,34.0
34,aves_aa_4R_1422_0035,1422,conseiller_des_pêcheurs,Heintzman Roser,heintz,roser,,,,echevinat,corporation_des_pêcheurs,,153,1,35,35.0
35,aves_aa_4R_1422_0036,1422,conseiller_des_barbiers_et_baigneurs,meister ruͦdolff der                            scherer,rudolff,,,,"['meister', 'scherer']",echevinat,corporation_des_barbiers_et_baigneurs,,153,1,36,36.0
36,aves_aa_4R_1422_0037,1422,conseiller_des_sauniers,Leonhart Trachenfeils,lienhart,trachenfeils,,,,echevinat,corporation_des_sauniers,,153,1,37,37.0
37,aves_aa_4R_1422_0038,1422,conseiller_des_tisserands,Diebolt von Basel,diebolt,"basel, von",,,,echevinat,corporation_des_tisserands,,153,1,38,38.0
38,aves_aa_4R_1422_0039,1422,conseiller_des_gourmets_et_courtiers,Hanns Schenck,johanns,schenck,,,,echevinat,corporation_des_gourmets_et_courtiers,,153,2,1,39.0
39,aves_aa_4R_1422_0040,1422,conseiller_des_charrons,Fritsch von Rinstet,fritsch,"rheinstett, von",,,,echevinat,corporation_des_charrons,,153,2,2,40.0
40,aves_aa_4R_1422_0041,1422,conseiller_des_regrattiers_cordiers_et_fruitiers,Claus zuͦm Hohenhuse,claus,"hohenhaus, zum",,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,153,2,3,41.0
41,aves_aa_4R_1422_0042,1422,conseiller_des_coltineurs_de_tonneaux,Claus Dùrre,claus,dürr,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,153,2,4,42.0
42,aves_aa_4R_1422_0043,1422,conseiller_des_constructeurs_de_bateaux,Leonhart Bobst,lienhart,bobst,,,,echevinat,corporation_des_constructeurs_de_bateaux,,153,2,5,43.0
43,aves_aa_4R_1422_0044,1422,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,Conrat dͦuͦchscherer vor dem mùnster,konrat,,"münster, vor dem",,['dͦuͦchscherer'],echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,153,2,6,44.0
4,aves_aa_4R_1423_0005,1423,ammeister,her Claus Schanlit der                      ammeister,claus,schanlit,,,"['her', 'ammeister']",echevinat,,,154,1,5,5.0
16,aves_aa_4R_1423_0017,1423,conseiller_des_marchands,Hanns Barpfennig,johanns,barpfennig,,,,echevinat,corporation_des_marchands,,154,1,17,17.0
17,aves_aa_4R_1423_0018,1423,conseiller_des_boulangers,Clein Hanns Schultheiss,johanns,schultheiss,klein,,,echevinat,corporation_des_boulangers,,154,1,18,18.0
18,aves_aa_4R_1423_0019,1423,conseiller_des_bouchers,Jacob Kerling,jacob,kerling,,,,echevinat,corporation_des_bouchers,,154,1,19,19.0
19,aves_aa_4R_1423_0020,1423,conseiller_des_drapiers,Claus Sprenger,claus,sprenger,,,,echevinat,corporation_des_drapiers,,154,1,20,20.0
20,aves_aa_4R_1423_0021,1423,conseiller_des_tonneliers,Hanns Biderman zuͦm Swenner,johanns,bidermann,"schwenner, zum",,,echevinat,corporation_des_tonneliers,,154,1,21,21.0
21,aves_aa_4R_1423_0022,1423,conseiller_des_tanneurs,her Claus Gerbot,claus,gerbot,,,['her'],echevinat,corporation_des_tanneurs,,154,1,22,22.0
22,aves_aa_4R_1423_0023,1423,conseiller_des_cabaretiers,Heinrich Cranich,heinrich,kranich,,,,echevinat,corporation_des_cabaretiers,,154,1,23,23.0
23,aves_aa_4R_1423_0024,1423,conseiller_des_maçons,Peter Stùrmmel,peter,sturmel,,,,echevinat,corporation_des_maçons,,154,1,24,24.0
24,aves_aa_4R_1423_0025,1423,conseiller_des_forgerons,Eberlin von Truhterßheim,eberhart,"trüchtersheim, von",,,,echevinat,corporation_des_forgerons,,154,1,25,25.0
25,aves_aa_4R_1423_0026,1423,conseiller_des_tailleurs,Hanns Breithor,johanns,breitthor,,,,echevinat,corporation_des_tailleurs,,154,1,26,26.0
26,aves_aa_4R_1423_0027,1423,conseiller_des_bateliers,Reimbolt Phie,reimbolt,phye,,,,echevinat,corporation_des_bateliers,,154,1,27,27.0
27,aves_aa_4R_1423_0028,1423,conseiller_des_pelletiers,Heinrich Hirtzfelder,heinrich,hirtzfelder,,,,echevinat,corporation_des_pelletiers,,154,1,28,28.0
28,aves_aa_4R_1423_0029,1423,conseiller_des_charpentiers,Fritsch uff dem Werde,fritsch,,"werde, uff dem",,,echevinat,corporation_des_charpentiers,,154,1,29,29.0
29,aves_aa_4R_1423_0030,1423,conseiller_des_crieurs_et_mesureurs_de_vin,Hanns Cuͦne,johanns,kühn,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,154,1,30,30.0
30,aves_aa_4R_1423_0031,1423,conseiller_des_cordonniers,Hanns Pfowe,johanns,pfau,,,,echevinat,corporation_des_cordonniers,,154,1,31,31.0
31,aves_aa_4R_1423_0032,1423,conseiller_des_orfevres,Peter Missebach,peter,missbach,,,,echevinat,corporation_des_orfevres,,154,1,32,32.0
32,aves_aa_4R_1423_0033,1423,conseiller_des_marchands_de_grains,her Claus Melbruͤ,claus,melbrühe,,,['her'],echevinat,corporation_des_marchands_de_grains,,154,1,33,33.0
33,aves_aa_4R_1423_0034,1423,conseiller_des_jardiniers,Behtolt Goͤtze,bechtolt,götze,,,,echevinat,corporation_des_jardiniers,,154,1,34,34.0
34,aves_aa_4R_1423_0035,1423,conseiller_des_pêcheurs,Hanns Hug genant Pfaffe,johanns,hug,pfaffe,,,echevinat,corporation_des_pêcheurs,,154,1,35,35.0
35,aves_aa_4R_1423_0036,1423,conseiller_des_barbiers_et_baigneurs,Marx der                               bader,marx,,,,['bader'],echevinat,corporation_des_barbiers_et_baigneurs,,154,1,36,36.0
36,aves_aa_4R_1423_0037,1423,conseiller_des_sauniers,Leonhart Trachenfeils der jung,lienhart,trachenfeils,,der junge,,echevinat,corporation_des_sauniers,,154,1,37,37.0
37,aves_aa_4R_1423_0038,1423,conseiller_des_tisserands,Heintz Messinger,heintz,messinger,,,,echevinat,corporation_des_tisserands,,154,2,1,38.0
38,aves_aa_4R_1423_0039,1423,conseiller_des_gourmets_et_courtiers,Walther Schrotbanck,walther,schrotbanck,,,,echevinat,corporation_des_gourmets_et_courtiers,,154,2,2,39.0
39,aves_aa_4R_1423_0040,1423,conseiller_des_charrons,her Hug Dritzehen,hug,dreitzehn,,,['her'],echevinat,corporation_des_charrons,,154,2,3,40.0
40,aves_aa_4R_1423_0041,1423,conseiller_des_regrattiers_cordiers_et_fruitiers,Hanns Wissemburg,johanns,wissemburg,,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,154,2,4,41.0
41,aves_aa_4R_1423_0042,1423,conseiller_des_constructeurs_de_bateaux,Heintzman Kint,heintz,kint,,,,echevinat,corporation_des_constructeurs_de_bateaux,,154,2,5,42.0
42,aves_aa_4R_1423_0043,1423,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,Walther Richwin,walther,reichwein,,,,echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,154,2,6,43.0
43,aves_aa_4R_1423_0044,1423,conseiller_des_coltineurs_de_tonneaux,Claus Voltz,claus,voltz,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,154,2,7,44.0
4,aves_aa_4R_1424_0005,1424,ammeister,her Jacob von Geispoltzheim der                         ammeister,jacob,"geispoltzheim, von",,,"['her', 'ammeister']",echevinat,,,155,1,5,5.0
16,aves_aa_4R_1424_0017,1424,conseiller_des_marchands,her Ruͤllin Barpfennig,ruhlemann,barpfennig,,,['her'],echevinat,corporation_des_marchands,,155,1,17,17.0
17,aves_aa_4R_1424_0018,1424,conseiller_des_boulangers,Claus Linser,claus,linzer,,,,echevinat,corporation_des_boulangers,,155,1,18,18.0
18,aves_aa_4R_1424_0019,1424,conseiller_des_bouchers,her Johanns Betscholt,johanns,bechtolt,,,['her'],echevinat,corporation_des_bouchers,,155,1,19,19.0
19,aves_aa_4R_1424_0020,1424,conseiller_des_drapiers,Conrat Armbruster der jung,konrat,armbruster,,der junge,,echevinat,corporation_des_drapiers,,155,1,20,20.0
20,aves_aa_4R_1424_0021,1424,conseiller_des_tonneliers,her Claus Schanlit,claus,schanlit,,,['her'],echevinat,corporation_des_tonneliers,,155,1,21,21.0
21,aves_aa_4R_1424_0022,1424,conseiller_des_tanneurs,Hanns Hanseler,johanns,hanseler,,,,echevinat,corporation_des_tanneurs,,155,1,22,22.0
22,aves_aa_4R_1424_0023,1424,conseiller_des_cabaretiers,Heinrich Arner,heinrich,arner,,,,echevinat,corporation_des_cabaretiers,,155,1,23,23.0
23,aves_aa_4R_1424_0024,1424,conseiller_des_maçons,Cuͦntz Wilde,küntz,wild,,,,echevinat,corporation_des_maçons,,155,1,24,24.0
24,aves_aa_4R_1424_0025,1424,conseiller_des_forgerons,Cuͦntz Rosemberg,küntz,rosemberg,,,,echevinat,corporation_des_forgerons,,155,1,25,25.0
25,aves_aa_4R_1424_0026,1424,conseiller_des_tailleurs,meister Hanns Monschin,johanns,monschein,,,['meister'],echevinat,corporation_des_tailleurs,,155,1,26,26.0
26,aves_aa_4R_1424_0027,1424,conseiller_des_bateliers,Obreht Schalck,obrecht,schalk,,,,echevinat,corporation_des_bateliers,,155,1,28,27.0
27,aves_aa_4R_1424_0028,1424,conseiller_des_pelletiers,Claus zuͦr Hellen,claus,"hellen, zur",,,,echevinat,corporation_des_pelletiers,,155,1,29,28.0
28,aves_aa_4R_1424_0029,1424,conseiller_des_charpentiers,Hanns Schùbel,johanns,scheubelin,,,,echevinat,corporation_des_charpentiers,,155,1,30,29.0
29,aves_aa_4R_1424_0030,1424,conseiller_des_crieurs_et_mesureurs_de_vin,Jacob Gruͤnwalt,jacob,grünwalt,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,155,1,31,30.0
30,aves_aa_4R_1424_0031,1424,conseiller_des_cordonniers,Hanns von Nuwilre,johanns,neuwiller,,,,echevinat,corporation_des_cordonniers,,155,1,32,31.0
31,aves_aa_4R_1424_0032,1424,conseiller_des_orfevres,meister Hanns Armbruster,johanns,armbruster,,,['meister'],echevinat,corporation_des_orfevres,,155,1,33,32.0
32,aves_aa_4R_1424_0033,1424,conseiller_des_marchands_de_grains,Hanns Kesselring,johanns,kesselring,,,,echevinat,corporation_des_marchands_de_grains,,155,1,34,33.0
33,aves_aa_4R_1424_0034,1424,conseiller_des_jardiniers,Hanns Spete,johanns,spete,,,,echevinat,corporation_des_jardiniers,,155,1,35,34.0
34,aves_aa_4R_1424_0035,1424,conseiller_des_pêcheurs,Clein Hanns Brùchel,johanns,brüchelin,klein,,,echevinat,corporation_des_pêcheurs,,155,1,36,35.0
35,aves_aa_4R_1424_0036,1424,conseiller_des_barbiers_et_baigneurs,Hannß Obreht der scherer,johanns,obrecht,,,['scherer'],echevinat,corporation_des_barbiers_et_baigneurs,,155,1,37,36.0
36,aves_aa_4R_1424_0037,1424,conseiller_des_sauniers,Hanns Blͦuͦmenstein,johanns,blumenstein,,,,echevinat,corporation_des_sauniers,,155,1,38,37.0
37,aves_aa_4R_1424_0038,1424,conseiller_des_tisserands,Diebolt Renner,diebolt,renner,,,,echevinat,corporation_des_tisserands,,155,1,39,38.0
38,aves_aa_4R_1424_0039,1424,conseiller_des_gourmets_et_courtiers,Hanns Diether,johanns,diether,,,,echevinat,corporation_des_gourmets_et_courtiers,,155,2,1,39.0
39,aves_aa_4R_1424_0040,1424,conseiller_des_charrons,Hanns Giger,johanns,giger,,,,echevinat,corporation_des_charrons,,155,2,2,40.0
40,aves_aa_4R_1424_0041,1424,conseiller_des_regrattiers_cordiers_et_fruitiers,Claus Dettwilre,claus,dettwiller,,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,155,2,3,41.0
41,aves_aa_4R_1424_0042,1424,conseiller_des_coltineurs_de_tonneaux,Claus Dùrre,claus,dürr,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,155,2,4,42.0
42,aves_aa_4R_1424_0043,1424,conseiller_des_constructeurs_de_bateaux,Leonhart Bobst,lienhart,bobst,,,,echevinat,corporation_des_constructeurs_de_bateaux,,155,2,5,43.0
43,aves_aa_4R_1424_0044,1424,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,Berhtolt der                               mùller,bechtolt,,,,['mùller'],echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,155,2,6,44.0
4,aves_aa_4R_1425_0005,1425,ammeister,her Hanns Lumbart der ammeister,johanns,lumbart,,,"['her', 'ammeister']",echevinat,,,156,1,5,5.0
16,aves_aa_4R_1425_0017,1425,conseiller_des_marchands,Adam Riffe,adam,riffe,,,,echevinat,corporation_des_marchands,,156,1,17,17.0
17,aves_aa_4R_1425_0018,1425,conseiller_des_boulangers,her Jacob von Geispoltzheim obgenant,jacob,"geispoltzheim, von",,,['her'],echevinat,corporation_des_boulangers,,156,1,18,18.0
18,aves_aa_4R_1425_0019,1425,conseiller_des_bouchers,Wilhelm Rotschilt,wilhelm,rotschilt,,,,echevinat,corporation_des_bouchers,,156,1,19,19.0
19,aves_aa_4R_1425_0020,1425,conseiller_des_tonneliers,Hanns Bischoff,johanns,bischoff,,,,echevinat,corporation_des_tonneliers,,156,1,20,20.0
20,aves_aa_4R_1425_0021,1425,conseiller_des_drapiers,Hanns Renner,johanns,renner,,,,echevinat,corporation_des_drapiers,,156,1,21,21.0
21,aves_aa_4R_1425_0022,1425,conseiller_des_tanneurs,Conrat Gerbot,konrat,gerbot,,,,echevinat,corporation_des_tanneurs,,156,1,22,22.0
22,aves_aa_4R_1425_0023,1425,conseiller_des_cabaretiers,Anshelm Spirer,anshelm,spirer,,,,echevinat,corporation_des_cabaretiers,,156,1,23,23.0
23,aves_aa_4R_1425_0024,1425,conseiller_des_maçons,meister Syferman,,siffermann,,,['meister'],echevinat,corporation_des_maçons,,156,1,24,24.0
24,aves_aa_4R_1425_0025,1425,conseiller_des_forgerons,Rullin von Druhterßheim,ruhlemann,"trüchtersheim, von",,,,echevinat,corporation_des_forgerons,,156,1,25,25.0
25,aves_aa_4R_1425_0026,1425,conseiller_des_tailleurs,Jacob Rotgebe,jacob,rotgebe,,,,echevinat,corporation_des_tailleurs,,156,1,26,26.0
26,aves_aa_4R_1425_0027,1425,conseiller_des_bateliers,Hanns Ammelung,johanns,ammelung,,,,echevinat,corporation_des_bateliers,,156,1,27,27.0
27,aves_aa_4R_1425_0028,1425,conseiller_des_pelletiers,Hanns zuͦr Hellen,johanns,"hellen, zur",,,,echevinat,corporation_des_pelletiers,,156,1,28,28.0
28,aves_aa_4R_1425_0029,1425,conseiller_des_charpentiers,Dietrich Clein,dietrich,klein,,,,echevinat,corporation_des_charpentiers,,156,1,29,29.0
29,aves_aa_4R_1425_0030,1425,conseiller_des_crieurs_et_mesureurs_de_vin,Hanns Cuͦn,johanns,kühn,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,156,1,30,30.0
30,aves_aa_4R_1425_0031,1425,conseiller_des_cordonniers,Cuͦntz Heiden,küntz,heide,,,,echevinat,corporation_des_cordonniers,,156,1,31,31.0
31,aves_aa_4R_1425_0032,1425,conseiller_des_orfevres,Hanns Staheler,johanns,stacheler,,,,echevinat,corporation_des_orfevres,,156,1,32,32.0
32,aves_aa_4R_1425_0033,1425,conseiller_des_marchands_de_grains,her Claus Melbruͤge,claus,melbrühe,,,['her'],echevinat,corporation_des_marchands_de_grains,,156,1,33,33.0
33,aves_aa_4R_1425_0034,1425,conseiller_des_jardiniers,Claus Egen,claus,egen,,,,echevinat,corporation_des_jardiniers,,156,1,34,34.0
34,aves_aa_4R_1425_0035,1425,conseiller_des_pêcheurs,Claus Bùttener,claus,büttener,,,,echevinat,corporation_des_pêcheurs,,156,1,35,35.0
35,aves_aa_4R_1425_0036,1425,conseiller_des_barbiers_et_baigneurs,Peter Rorer,peter,rohrer,,,,echevinat,corporation_des_barbiers_et_baigneurs,,156,1,36,36.0
36,aves_aa_4R_1425_0037,1425,conseiller_des_sauniers,Hanns Messer der eilter,johanns,messer,,,,echevinat,corporation_des_sauniers,,156,2,1,37.0
37,aves_aa_4R_1425_0038,1425,conseiller_des_tisserands,Diebolt von Basel,diebolt,"basel, von",,,,echevinat,corporation_des_tisserands,,156,2,2,38.0
38,aves_aa_4R_1425_0039,1425,conseiller_des_gourmets_et_courtiers,Walther von Hochvelden,walther,"hochfelden, von",,,,echevinat,corporation_des_gourmets_et_courtiers,,156,2,3,39.0
39,aves_aa_4R_1425_0040,1425,conseiller_des_charrons,her Hug xiij,hug,dreitzehn,,,['her'],echevinat,corporation_des_charrons,,156,2,4,40.0
40,aves_aa_4R_1425_0041,1425,conseiller_des_regrattiers_cordiers_et_fruitiers,Heintz Burckart,heintz,burkhart,,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,156,2,5,41.0
41,aves_aa_4R_1425_0042,1425,conseiller_des_coltineurs_de_tonneaux,Cuͦntz Voltz,küntz,voltz,,,,echevinat,corporation_des_coltineurs_de_tonneaux,,156,2,6,42.0
42,aves_aa_4R_1425_0043,1425,conseiller_des_constructeurs_de_bateaux,Hannß Obreht,johanns,obrecht,,,,echevinat,corporation_des_constructeurs_de_bateaux,,156,2,7,43.0
43,aves_aa_4R_1425_0044,1425,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,Gabhart der                               duͦchscherer,gebhart,,,,['duͦchscherer'],echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,,156,2,8,44.0
4,aves_aa_4R_1426_0005,1426,ammeister,her Ruͤllin Barpfennig der                      ammeister,ruhlemann,barpfennig,,,"['her', 'ammeister']",echevinat,,,157,1,5,5.0
15,aves_aa_4R_1426_0016,1426,conseiller_des_marchands,Behtolt von Colmar,bechtolt,"colmar, von",,,,echevinat,corporation_des_marchands,,157,1,15,16.0
16,aves_aa_4R_1426_0017,1426,conseiller_des_boulangers,Wernlin von Hagenowe,wernher,"hagenau, von",,,,echevinat,corporation_des_boulangers,,157,1,16,17.0
17,aves_aa_4R_1426_0018,1426,conseiller_des_bouchers,her Hanns Betscholt,johanns,bechtolt,,,['her'],echevinat,corporation_des_bouchers,,157,1,17,18.0
18,aves_aa_4R_1426_0019,1426,conseiller_des_tonneliers,her Claus Schanlit,claus,schanlit,,,['her'],echevinat,corporation_des_tonneliers,,157,1,18,19.0
19,aves_aa_4R_1426_0020,1426,conseiller_des_drapiers,Uͦlrich Zirzer,ulrich,zirtzer,,,,echevinat,corporation_des_drapiers,,157,1,19,20.0
20,aves_aa_4R_1426_0021,1426,conseiller_des_tanneurs,Hanns Mintzenberg,johanns,müntzenberg,,,,echevinat,corporation_des_tanneurs,,157,1,20,21.0
21,aves_aa_4R_1426_0022,1426,conseiller_des_cabaretiers,Hug Dohssenheim,hug,dossenheim,,,,echevinat,corporation_des_cabaretiers,,157,1,21,22.0
22,aves_aa_4R_1426_0023,1426,conseiller_des_maçons,Claus Ruͤlman,claus,ruhlmann,,,,echevinat,corporation_des_maçons,,157,1,22,23.0
23,aves_aa_4R_1426_0024,1426,conseiller_des_forgerons,Peter Vilinger,peter,villinger,,,,echevinat,corporation_des_forgerons,,157,1,23,24.0
24,aves_aa_4R_1426_0025,1426,conseiller_des_tailleurs,Hanns Monschin,johanns,monschein,,,,echevinat,corporation_des_tailleurs,,157,1,24,25.0
25,aves_aa_4R_1426_0026,1426,conseiller_des_bateliers,Hanns Lumbart der jung,johanns,lumbart,,der junge,,echevinat,corporation_des_bateliers,,157,1,25,26.0
26,aves_aa_4R_1426_0027,1426,conseiller_des_pelletiers,Dielman Wynngersheim,dielmann,wingersheim,,,,echevinat,corporation_des_pelletiers,,157,1,26,27.0
27,aves_aa_4R_1426_0028,1426,conseiller_des_charpentiers,Michel der                               zimerman,michel,,,,['zimerman'],echevinat,corporation_des_charpentiers,,157,1,27,28.0
28,aves_aa_4R_1426_0029,1426,conseiller_des_crieurs_et_mesureurs_de_vin,Fritsch Volmar,fritsch,volmar,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,157,1,28,29.0
29,aves_aa_4R_1426_0030,1426,conseiller_des_cordonniers,meister Reimbolt,,reimbolt,,,['meister'],echevinat,corporation_des_cordonniers,,157,1,29,30.0
30,aves_aa_4R_1426_0031,1426,conseiller_des_orfevres,Andres Smalriem,andres,schmalriem,,,,echevinat,corporation_des_orfevres,,157,1,30,31.0
31,aves_aa_4R_1426_0032,1426,conseiller_des_marchands_de_grains,Otteman Franckenheim,ottemann,frankenheim,,,,echevinat,corporation_des_marchands_de_grains,,157,1,31,32.0
32,aves_aa_4R_1426_0033,1426,conseiller_des_jardiniers,Hanns Kirwart,johanns,kilwart,,,,echevinat,corporation_des_jardiniers,,157,1,32,33.0
33,aves_aa_4R_1426_0034,1426,conseiller_des_pêcheurs,Hanns Lamb,johanns,lamb,,,,echevinat,corporation_des_pêcheurs,,157,1,33,34.0
34,aves_aa_4R_1426_0035,1426,conseiller_des_barbiers_et_baigneurs,Hanns Mùsinger,johanns,müsinger,,,,echevinat,corporation_des_barbiers_et_baigneurs,,157,1,34,35.0
35,aves_aa_4R_1426_0036,1426,conseiller_des_sauniers,Hanns Messerer der jung,johanns,messerer,,der junge,,echevinat,corporation_des_sauniers,,157,1,35,36.0
36,aves_aa_4R_1426_0037,1426,conseiller_des_tisserands,Hanns Frye,johanns,frei,,,,echevinat,corporation_des_tisserands,,157,1,36,37.0
37,aves_aa_4R_1426_0038,1426,conseiller_des_gourmets_et_courtiers,Hanns Huͤter,johanns,hüter,,,,echevinat,corporation_des_gourmets_et_courtiers,,157,1,37,38.0
